sample,camp,y,p,verdict,fin,sim
C09_S57,C09,99.5,93.42758059217711,BORDERLINE - confirm by HPLC,0.8125,0.999237046798902
C05_Para_S04,C05,112.49468763280916,111.43577628982402,BORDERLINE - confirm by HPLC,1.0,0.9955930314066296
C05_Para_S09,C05,100.0,96.73834579110371,WITHIN RANGE,1.0,0.9964161602877939
C05_Para_S14,C05,87.51171948246767,87.91980785670698,BORDERLINE - confirm by HPLC,1.0,0.9968250518418689
C07_15b,C07,84.0,86.88689216674342,BORDERLINE - confirm by HPLC,0.6875,0.9929639096153852
C07_16c,C07,81.0,82.99329941526035,LOW,0.625,0.9950734112927685
C09_S04,C09,82.5,88.60795015580578,OUT OF DOMAIN - not a paracetamol/talc blend like the calibration set,0.4375,0.9949841522010295
C09_S09,C09,87.0,90.39756768312185,BORDERLINE - confirm by HPLC,1.0,0.9987739844861936
C09_S14,C09,91.0,89.47438539877481,BORDERLINE - confirm by HPLC,1.0,0.9983862210635428
C09_S19,C09,95.0,94.08253088975204,OUT OF DOMAIN - not a paracetamol/talc blend like the calibration set,0.25,0.9928253865494664
C09_S24,C09,97.5,100.19187707777701,WITHIN RANGE,0.75,0.9961655587555188
C09_S31,C09,101.5,100.83302723665511,WITHIN RANGE,1.0,0.9992927624679491
C09_S36,C09,104.0,102.06546562785715,WITHIN RANGE,1.0,0.9994168096758593
C09_S41,C09,107.5,104.53061249871317,WITHIN RANGE,0.875,0.9985686652576523
C09_S46,C09,112.0,111.40058174166788,BORDERLINE - confirm by HPLC,1.0,0.999568791860002
C09_S51,C09,116.0,112.76966688261429,BORDERLINE - confirm by HPLC,1.0,0.999463138890972
C09_S56,C09,120.0,113.83830259824353,BORDERLINE - confirm by HPLC,1.0,0.9992168555328285
C05_Para_S03,C05,115.00752526338422,112.29258211298827,BORDERLINE - confirm by HPLC,1.0,0.9959568782748702
C05_Para_S08,C05,102.51113811259617,103.42290790689769,WITHIN RANGE,1.0,0.9963019804769506
C05_Para_S13,C05,90.00570017100512,89.48572893939264,BORDERLINE - confirm by HPLC,1.0,0.996777254201177
C07_15a,C07,84.5,86.65593318449095,BORDERLINE - confirm by HPLC,0.875,0.9944784394226815
C07_16b,C07,81.5,82.73714020224133,LOW,1.0,0.9956875461332084
C09_S03,C09,82.0,83.3126904796156,LOW,1.0,0.9977557980936576
C09_S08,C09,86.0,90.14400024806956,BORDERLINE - confirm by HPLC,1.0,0.9983811254999413
C09_S13,C09,90.0,87.84685033825872,BORDERLINE - confirm by HPLC,1.0,0.9979678699734018
C09_S18,C09,94.0,97.05285132446426,WITHIN RANGE,1.0,0.9992406326891321
C09_S23,C09,97.0,97.682031944162,WITHIN RANGE,1.0,0.9987707614590271
C09_S30,C09,101.0,102.95364339683152,WITHIN RANGE,1.0,0.999346646075697
C09_S35,C09,103.5,88.82529282562744,BORDERLINE - confirm by HPLC,1.0,0.9978788176121063
C09_S40,C09,107.0,103.55170037055666,WITHIN RANGE,0.875,0.9989612788368738
C09_S45,C09,111.0,105.00964681486016,BORDERLINE - confirm by HPLC,1.0,0.9993998493509448
C09_S50,C09,115.0,104.9652907178509,WITHIN RANGE,1.0,0.9994676065379893
C09_S55,C09,119.0,110.84075748854818,BORDERLINE - confirm by HPLC,1.0,0.9995285073923278
